,Sehir,İlce,Mahalle,Fiyat,brüt metrekare,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Krediye Uygunluk
303,0,7,107,550000,65 M2,55 M2,1,4,16,
304,0,12,61,1250000,190 M2,110 M2,3,0,18,
305,0,23,269,4500000,140 M2,116 M2,6,8,3,
306,0,24,44,950000,110 M2,90 M2,6,5,3,
307,0,12,220,15000000,500 M2,420 M2,17,8,20,
308,0,12,220,13000000,600 M2,380 M2,12,8,20,
309,0,12,220,9250000,2.500 M2,600 M2,12,8,20,
310,0,12,220,12500000,2.500 M2,400 M2,10,0,20,
311,0,9,61,699000,90 M2,70 M2,1,7,11,
312,0,14,43,789000,110 M2,100 M2,3,6,3,
313,0,12,108,15000000,1.460 M2,460 M2,21,8,20,
314,0,7,35,8250000,500 M2,380 M2,17,0,20,
315,0,35,166,1675000,100 M2,90 M2,3,5,18,
316,0,7,34,1275000,140 M2,130 M2,6,0,3,
317,0,11,4,14000000,300 M2,270 M2,18,8,10,Hayır
318,0,4,281,11000000,220 M2,210 M2,9,0,3,
319,0,4,25,7000000,145 M2,135 M2,6,5,3,
320,0,14,189,680000TLarrow_downward,130 M2,95 M2,3,7,3,
321,0,3,234,1360000,100 M2,90 M2,3,5,9,
322,0,33,161,950000,95 M2,80 M2,3,8,18,
323,0,22,24,1550000,71 M2,59 M2,3,8,11,
324,0,3,249,445000,60 M2,50 M2,1,3,16,
325,0,22,24,1150000,58 M2,44 M2,1,8,4,
326,0,12,57,6630000,256 M2,183 M2,13,0,9,
327,0,12,196,2500000,148 M2,135 M2,6,3,11,
328,0,1,237,3250000,125 M2,110 M2,6,2,9,
329,0,3,283,780000,110 M2,100 M2,6,5,18,
330,0,3,249,445000,60 M2,50 M2,1,3,16,
331,0,22,24,1150000,58 M2,44 M2,1,8,4,
332,0,12,57,6630000,256 M2,183 M2,13,0,9,
333,0,12,196,2500000,148 M2,135 M2,6,3,11,
334,0,1,237,3250000,125 M2,110 M2,6,2,9,
335,0,3,283,780000,110 M2,100 M2,6,5,18,
336,0,21,192,4500000,101 M2,85 M2,3,0,4,
337,0,9,227,1219000,125 M2,115 M2,3,0,5,
338,0,29,245,980000TLarrow_downward,92 M2,90 M2,3,8,5,
339,0,37,61,4750000,100 M2,75 M2,3,8,9,
340,0,16,209,835000TLarrow_downward,85 M2,75 M2,3,5,10,
341,0,3,249,1550000,200 M2,190 M2,9,2,9,
342,0,37,86,2500000,160 M2,140 M2,6,2,7,
343,0,3,199,1250000,120 M2,100 M2,6,5,9,
344,0,10,112,1850000,200 M2,180 M2,12,7,9,
345,0,14,110,399000,85 M2,80 M2,1,0,5,
346,0,23,17,2020000,87 M2,74 M2,3,8,3,
347,0,22,24,5500000,147 M2,140 M2,6,8,4,
348,0,14,11,1050000,125 M2,110 M2,3,0,9,
349,0,14,276,689000,120 M2,100 M2,3,7,5,
350,0,3,198,1750000,115 M2,105 M2,6,0,18,
351,0,9,227,1649000,130 M2,120 M2,3,1,3,
352,0,9,227,1290000,130 M2,120 M2,3,1,3,
353,0,22,275,1475000,95 M2,90 M2,3,8,10,
354,0,22,24,3650000,122 M2,110 M2,3,8,4,
355,0,22,24,6900000,186 M2,180 M2,9,8,9,
356,0,23,88,1900000,100 M2,84 M2,3,5,3,
357,0,12,108,12000000,830 M2,500 M2,21,1,18,
358,0,19,54,9150000,140 M2,107 M2,6,0,12,
359,0,7,107,725000,78 M2,75 M2,3,6,18,
360,0,17,158,1500000,100 M2,90 M2,3,0,5,
361,0,20,222,950000,90 M2,80 M2,3,5,7,
362,0,3,198,1800000,130 M2,115 M2,6,0,9,
363,0,7,35,3350000,155 M2,130 M2,3,8,9,
364,0,14,172,850000,110 M2,90 M2,3,7,3,
365,0,14,119,450000,140 M2,110 M2,3,0,16,
366,0,14,270,749000,105 M2,95 M2,3,8,3,
367,0,26,250,3950000,135 M2,128 M2,6,5,16,
368,0,0,22,1490000,220 M2,200 M2,10,7,21,
369,0,17,158,1000000,85 M2,80 M2,3,0,18,
370,0,30,231,2200000,135 M2,125 M2,6,7,3,
371,0,17,46,880000TLarrow_downward,100 M2,90 M2,3,3,7,
372,0,12,27,2550000,180 M2,160 M2,7,8,21,
373,0,27,178,700000,95 M2,85 M2,3,5,10,
374,0,27,233,590000,80 M2,70 M2,1,2,9,
375,0,12,27,1650000,130 M2,115 M2,6,8,16,
376,0,3,249,760000,75 M2,65 M2,1,7,18,
377,0,27,233,739999,85 M2,75 M2,3,7,7,
378,0,6,248,1050000,100 M2,90 M2,6,2,3,
379,0,3,33,5500000,190 M2,160 M2,10,0,9,
380,0,25,12,915000,90 M2,80 M2,3,7,7,
381,0,22,24,6750000,157 M2,140 M2,6,4,3,
382,0,22,275,4500000,220 M2,185 M2,6,5,18,
383,0,31,50,3100000,144 M2,124 M2,6,0,12,
384,0,29,77,695000,120 M2,100 M2,6,2,0,
385,0,14,27,919000,120 M2,110 M2,3,6,7,
386,0,20,100,1300000,82 M2,63 M2,3,0,7,
387,0,20,100,1350000,82 M2,63 M2,3,0,9,
388,0,4,254,5000000,140 M2,110 M2,6,0,5,
389,0,12,81,1350000,135 M2,120 M2,6,5,9,
390,0,16,13,800000,85 M2,75 M2,3,5,3,
391,0,9,61,439000,110 M2,100 M2,3,7,5,
392,0,16,120,445000,75 M2,70 M2,1,5,17,
393,0,22,155,3100000,136 M2,130 M2,20,5,7,Yatırıma Uygun
394,0,13,81,380000,65 M2,60 M2,1,2,17,
395,0,4,42,93000000,1.200 M2,1.040 M2,21,5,19,
396,0,14,268,920000,140 M2,130 M2,6,7,3,
397,0,16,120,1500000,70 M2,60 M2,3,0,3,
398,0,14,264,889000,140 M2,135 M2,6,6,7,
399,0,2,60,699999,85 M2,75 M2,3,7,18,
400,0,2,158,865000,140 M2,130 M2,6,5,5,
401,0,2,158,885000,115 M2,100 M2,3,3,7,
402,0,2,158,689999,65 M2,55 M2,1,7,18,
403,0,14,270,850000,140 M2,125 M2,6,8,3,
404,0,14,219,739000,90 M2,80 M2,3,8,18,
405,0,3,119,750000,55 M2,50 M2,1,8,18,
406,0,4,254,3950000,100 M2,83 M2,3,0,3,
407,0,24,230,1390000,190 M2,170 M2,7,7,14,
408,0,14,189,1150000,175 M2,160 M2,10,8,11,
409,0,3,33,3850000,105 M2,87 M2,3,0,3,
410,0,22,122,955000,105 M2,90 M2,6,7,18,
411,0,3,234,1195000,85 M2,80 M2,3,0,7,
412,0,28,7,890000,88 M2,78 M2,3,1,7,
413,0,7,47,3500000,150 M2,138 M2,9,2,9,
414,0,16,193,750000,75 M2,70 M2,1,5,18,
415,0,12,57,1050000TLarrow_downward,110 M2,100 M2,6,0,3,
416,0,16,120,2500000,110 M2,100 M2,3,0,21,
417,0,16,120,1400000,70 M2,60 M2,1,0,3,
418,0,16,120,2500000,120 M2,110 M2,3,0,21,
419,0,7,35,6100000,206 M2,190 M2,6,8,10,
420,0,1,237,1450000,90 M2,80 M2,3,2,18,
421,0,23,256,720000,70 M2,60 M2,3,8,16,
422,0,23,59,1515000,90 M2,70 M2,3,6,5,
423,0,29,56,1050000,135 M2,120 M2,6,2,22,
424,0,2,64,450000,90 M2,85 M2,3,5,16,
425,0,7,35,5250000,360 M2,330 M2,13,2,20,
426,0,23,228,2550000,130 M2,120 M2,6,7,3,
427,0,17,46,795000TLarrow_downward,110 M2,90 M2,3,2,18,
428,0,16,216,1100000,90 M2,85 M2,3,5,3,
429,0,3,199,1150000,110 M2,90 M2,3,0,16,
430,0,3,33,3900000,215 M2,190 M2,12,5,9,
431,0,14,240,765000,90 M2,75 M2,1,8,4,
432,0,17,158,1160000TLarrow_downward,115 M2,100 M2,3,8,0,
433,0,17,119,690000,95 M2,80 M2,3,5,7,
434,0,23,146,2690000TLarrow_downward%,120 M2,100 M2,6,4,5,
435,0,21,105,2300000,180 M2,165 M2,12,0,11,
436,0,21,113,5700000,125 M2,105 M2,6,8,13,
437,0,11,66,7500000,150 M2,135 M2,6,8,9,
438,0,9,132,1850000TLarrow_downward,200 M2,170 M2,10,7,9,
439,0,13,0,2650000TLarrow_downward,110 M2,95 M2,6,0,10,
440,0,19,255,4285000,135 M2,105 M2,6,5,12,
441,0,3,198,1450000,200 M2,180 M2,10,5,9,
442,0,21,171,1750000,95 M2,80 M2,3,7,3,
443,0,7,48,4100000,175 M2,141 M2,6,6,13,
444,0,33,161,6950000,185 M2,170 M2,9,2,7,
445,0,22,24,4950000,170 M2,140 M2,6,8,12,
446,0,34,147,950000,130 M2,100 M2,3,5,12,
447,0,3,283,760000,110 M2,100 M2,3,5,10,
448,0,6,45,1680000TLarrow_downward,75 M2,70 M2,3,8,10,
449,0,7,133,3700000TLarrow_downward,145 M2,105 M2,6,7,10,
450,0,33,158,1565000,120 M2,105 M2,6,8,7,
451,0,22,24,3120000,134 M2,106 M2,6,2,4,
452,0,2,60,775550,85 M2,80 M2,3,8,18,
453,0,22,24,1379000,75 M2,66 M2,3,2,7,
454,0,22,271,3150000TLarrow_downward,109 M2,108 M2,3,0,10,
455,0,19,55,2650000,80 M2,70 M2,3,2,3,
456,0,21,261,840000TLarrow_downward%,75 M2,70 M2,3,2,5,
457,0,24,230,900000TLarrow_downward,75 M2,65 M2,1,8,3,
458,0,9,227,1850000,155 M2,130 M2,6,2,7,
